x	y	Sought Treatment	labels
14.181481	13.463719	1	2
3.6199787	-2.5461943	1	0
16.2041	-4.1731415	0	6
-8.041157	5.670887	1	7
0.62435174	-8.121093	1	3
-15.106761	-11.226243	1	4
17.03966	15.555169	0	2
-11.794065	4.504281	1	7
9.051713	23.649792	1	2
18.044893	20.27966	1	2
-11.260112	-10.122891	1	4
-18.053608	9.10573	1	7
16.250278	-10.9370165	0	3
-17.171911	-0.45660263	1	4
-8.087253	-2.2063642	1	4
-0.10584375	3.9505017	1	0
-12.65595	-5.926103	1	4
-14.839888	-5.4493933	1	4
-9.153017	-10.9612255	0	4
-20.648115	4.642355	1	7
-14.066911	3.4692934	1	7
6.861406	14.7293215	0	2
9.407991	2.4248118	0	6
-13.965251	8.822743	1	7
-15.186867	-5.5941157	1	4
12.347198	23.30537	1	2
-4.948925	11.429957	1	5
12.57118	-4.698059	1	6
-14.239647	-3.6782322	1	4
-16.697443	-3.6406217	1	4
-1.5329077	-7.4904795	0	3
-11.405719	-26.011395	1	1
2.8942654	24.860786	1	5
-6.9070516	1.638681	1	7
0.31230065	4.6292653	0	0
-8.147747	2.7045	1	7
0.5712003	-1.2918926	1	0
5.89986	20.850172	1	2
-14.477563	12.98842	1	7
-1.2938248	21.624805	0	5
-16.458162	4.0641494	1	7
6.883904	-15.9517565	0	3
13.125158	19.79023	1	2
15.034088	-3.842942	0	6
21.596493	10.59599	0	6
18.147919	2.519755	1	6
-12.281983	-17.647028	0	1
2.2594986	19.600649	1	5
11.241076	-0.7869571	1	6
-19.011642	-0.59490705	1	4
-7.1125145	-14.575137	1	1
11.234047	0.26124698	0	6
18.547993	3.4338615	1	6
-4.9183197	-13.785592	1	3
-8.877711	-29.342587	0	1
1.5964411	1.3861077	0	0
-14.391485	16.506462	1	7
10.403518	1.0943029	0	6
-11.057942	9.9289875	1	7
-17.09382	-20.565275	0	1
22.438446	4.44444	1	6
6.8368783	-9.64206	0	3
9.557212	-17.382101	0	3
1.5806754	14.474335	1	5
-11.544225	-21.440393	1	1
-4.816114	8.470476	1	7
-1.8677053	19.78019	1	5
-4.285836	-14.291879	1	3
-20.761494	6.2981415	1	7
1.3866318	-13.823477	0	3
17.921022	1.7916576	0	6
-20.130674	-2.484701	0	4
13.671174	-3.9760323	1	6
13.272476	12.176477	1	2
-14.209863	-28.594847	0	1
7.2690444	-0.26185423	0	0
-18.72319	-7.947296	1	4
-4.5903535	19.893461	1	5
-11.640822	-16.998926	1	1
-14.702018	-8.355018	1	4
-12.091505	0.089519836	0	4
-10.355514	-17.852547	1	1
-14.819694	-9.448418	0	4
1.4468977	-9.78275	1	3
5.2140903	-1.5829326	1	0
7.874731	-7.4907765	0	3
14.756834	11.368172	1	2
-17.471762	-9.749676	0	4
18.152157	13.160535	1	2
-13.718929	-27.487812	0	1
-2.8441794	2.6268404	0	0
1.4532787	-6.40976	0	3
-1.9454588	-3.3428597	1	0
17.050709	-7.4515004	0	6
-13.217604	-25.589867	0	1
-10.717039	5.832139	1	7
-8.795158	0.098878756	1	4
-7.1676326	24.140156	0	5
-17.522074	-6.766911	1	4
4.120385	20.875408	1	5
-6.3826976	21.086758	1	5
-9.823432	7.939493	1	7
-12.385868	13.431376	0	7
15.061739	-7.7838717	0	6
-0.18864912	-18.859398	0	3
-17.31003	-10.178545	0	4
15.440965	2.12932	0	6
-19.147005	-7.370039	1	4
-2.0991127	9.680803	1	5
-14.862134	-10.720459	1	4
